district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Gopalganj,2022,26.47,84.44,61,66,256,622,67,189,7,3561
Munger,2022,25.37,86.47,57,26,358,92,68,101,7,1822
Jamui,2022,24.92,86.22,41,28,136,171,56,33,4,1356
Jehanabad,2022,25.21,84.99,29,13,141,265,48,85,3,1603
Katihar,2022,25.54,87.58,67,36,423,419,55,45,50,3087
Khagaria,2022,25.5,86.47,63,42,214,163,74,0,6,1652
Kishanganj,2022,26.1,87.93,44,18,143,146,19,26,42,1335
Lakhisarai,2022,25.16,86.09,39,9,75,111,41,12,10,911
Madhepura,2022,25.93,86.79,73,61,361,380,50,98,24,2937
Madhubani,2022,26.35,86.07,68,49,228,609,97,25,15,3235
Purbi Champaran,2022,26.65,84.92,146,144,432,1667,200,22,15,7890
Muzaffarpur,2022,26.12,85.39,140,98,1104,1748,274,3,57,9657
Nalanda,2022,25.08,85.45,75,91,527,691,234,476,12,5580
Nawada,2022,24.88,85.54,66,35,435,259,79,88,20,2630
Patna,2022,25.59,85.13,311,206,3350,5880,698,2070,85,33378
Rohtas,2022,24.96,83.88,62,54,346,723,118,175,3,4106
Saharsa,2022,25.88,86.6,37,20,190,329,39,28,16,1885
Samastipur,2022,25.86,85.78,101,133,294,773,104,0,44,4476
Saran,2022,25.92,84.75,108,122,541,1358,132,339,15,7333
Sheikhpura,2022,25.14,85.84,14,12,112,122,19,73,4,931
Sheohar,2022,26.52,85.3,12,6,41,42,7,10,4,353
Sitamarhi,2022,26.59,85.48,62,57,183,681,123,243,42,4012
Siwan,2022,26.22,84.35,94,61,316,1008,99,156,7,5014
Supaul,2022,26.12,86.6,42,56,236,294,42,21,8,1996
Vaishali,2022,25.69,85.21,117,98,273,1161,164,0,15,5573
Purnia,2022,25.78,87.47,80,115,466,877,81,140,79,5341
