district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Mahesana,2021,23.59,72.37,26,19,118,148,94,62,14,1362
Morbi,2021,22.81,70.84,39,13,23,66,49,12,6,692
Narmada,2021,21.87,73.75,16,4,38,49,18,12,8,437
Navsari,2021,20.95,72.93,10,2,38,42,23,15,2,369
Panch Mahals,2021,22.76,73.6,21,5,51,117,51,22,15,850
Patan,2021,23.85,72.13,15,21,98,114,55,33,15,1003
Porbandar,2021,21.64,69.61,8,0,17,8,15,4,3,166
Rajkot,2021,22.3,70.78,64,25,93,219,95,77,26,1832
Sabar Kantha,2021,23.59,73.0,20,6,100,206,66,100,11,1395
Surat,2021,21.17,72.83,156,55,732,997,206,487,62,7357
Surendranagar,2021,22.73,71.65,33,19,46,92,28,30,15,828
Tapi,2021,21.19,73.41,10,4,20,12,21,4,2,223
Vadodara,2021,22.31,73.18,50,33,633,459,232,169,50,4309
Valsad,2021,20.6,72.93,20,4,60,78,46,25,9,703
Ahmadabad,2022,23.03,72.58,123,157,1639,2032,441,447,115,13409
Amreli,2022,21.6,71.22,18,12,65,49,47,21,7,633
Anand,2022,22.56,72.95,17,3,137,106,92,31,16,1107
Arvalli,2022,23.58,73.0,11,9,89,108,79,25,6,910
Banas Kantha,2022,24.17,72.43,28,22,94,208,106,49,38,1646
Bharuch,2022,21.7,72.99,20,14,144,172,111,62,7,1452
Bhavnagar,2022,21.76,72.15,44,9,93,117,77,53,22,1240
Botad,2022,22.18,71.67,12,2,22,17,16,14,4,259
Chhotaudepur,2022,22.3,74.01,20,3,12,73,27,5,8,486
Gandhinagar,2022,23.22,72.65,27,25,247,395,151,87,10,2591
Dohad,2022,22.84,74.26,30,4,54,149,59,9,20,1016
Dang,2022,20.76,73.7,8,1,4,4,2,5,0,80
Devbhumi Dwarka,2022,22.24,68.97,8,5,27,17,21,6,6,270
Gir Somnath,2022,20.9,70.37,14,5,34,28,31,7,16,429
Jamnagar,2022,22.47,70.06,20,13,75,106,67,25,7,906
Junagadh,2022,21.52,70.46,17,14,73,100,64,69,20,1017
Kachchh,2022,23.73,70.2,42,47,372,405,254,130,31,3534
Kheda,2022,22.98,72.68,22,6,109,93,38,36,19,912
Mahisagar,2022,23.11,73.47,16,2,13,17,32,8,4,297
Mahesana,2022,23.59,72.37,24,21,122,161,96,36,19,1386
Morbi,2022,22.81,70.84,19,4,15,101,42,11,8,632
Narmada,2022,21.87,73.75,7,4,15,31,12,9,3,243
Navsari,2022,20.95,72.93,8,5,25,31,38,13,6,373
Panch Mahals,2022,22.76,73.6,31,6,64,126,68,26,16,1021
Patan,2022,23.85,72.13,25,16,94,110,50,34,10,975
Porbandar,2022,21.64,69.61,9,4,26,29,25,6,6,317
Rajkot,2022,22.3,70.78,62,38,247,508,189,131,39,3504
Sabar Kantha,2022,23.59,73.0,23,20,133,238,90,69,14,1653
Surat,2022,21.17,72.83,140,72,925,1075,302,447,73,8228
Surendranagar,2022,22.73,71.65,29,9,47,82,43,13,13,741
Tapi,2022,21.19,73.41,11,0,22,21,13,3,3,222
Vadodara,2022,22.31,73.18,46,19,815,443,218,178,34,4445
Valsad,2022,20.6,72.93,28,4,63,80,35,21,10,719
