district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Damoh,2022,23.84,79.44,29,12,72,80,104,0,27,1024
Datia,2022,25.66,78.46,23,9,141,88,50,31,34,1079
Dewas,2022,22.96,76.05,24,11,280,298,118,28,45,2253
Dhar,2022,22.6,75.3,71,28,308,724,246,65,153,4888
Dindori,2022,22.94,81.08,20,1,43,23,52,15,36,625
Guna,2022,24.65,77.32,43,17,90,168,96,33,44,1541
Gwalior,2022,26.22,78.18,64,63,559,1285,645,226,193,8897
Harda,2022,22.34,77.1,14,2,47,59,54,4,23,634
Indore,2022,22.72,75.86,106,86,1996,3442,566,340,200,18570
Jabalpur,2022,23.17,79.95,88,77,2648,708,388,149,167,10465
Jhabua,2022,22.77,74.6,35,16,70,126,32,13,42,1089
Katni,2022,23.83,80.4,26,3,146,135,98,44,35,1396
Khandwa (East Nimar),2022,21.82,76.35,30,10,141,160,136,0,53,1625
Khargone (West Nimar),2022,21.82,75.62,42,12,225,257,154,29,59,2294
Mandla,2022,22.6,80.38,25,9,269,49,79,15,27,1248
Mandsaur,2022,24.07,75.07,22,14,198,261,90,53,29,1866
Morena,2022,26.5,77.99,45,40,171,445,191,45,82,3135
Narsimhapur,2022,22.95,79.2,30,9,78,93,84,28,62,1239
Neemuch,2022,24.47,74.87,11,15,103,121,64,22,16,1000
Panna,2022,24.72,80.18,19,5,78,49,110,0,46,978
Raisen,2022,23.33,77.79,42,17,257,300,124,0,49,2309
Rajgarh,2022,23.85,76.73,25,17,89,156,91,33,70,1528
Ratlam,2022,23.33,75.04,32,23,222,301,148,58,62,2469
Rewa,2022,24.53,81.3,65,81,459,840,463,77,77,6015
Sagar,2022,23.84,78.74,82,42,160,360,229,89,70,3193
Satna,2022,24.6,80.83,60,17,161,300,153,53,38,2345
Seoni,2022,22.09,79.54,30,7,131,130,120,35,72,1620
Shahdol,2022,23.29,81.35,44,14,336,141,205,37,40,2260
Shajapur,2022,23.43,76.28,19,13,141,118,90,16,38,1275
Sheopur,2022,25.67,76.7,12,7,75,68,50,8,19,703
Shivpuri,2022,25.43,77.66,63,31,187,281,200,81,78,2808
Sidhi,2022,24.41,81.88,22,10,191,27,138,5,41,1242
Sehore,2022,23.2,77.08,27,10,216,275,142,80,29,2163
Singrauli,2022,24.2,82.66,56,6,342,66,72,21,56,1724
Tikamgarh,2022,24.74,78.83,26,0,91,80,77,14,29,956
Ujjain,2022,23.18,75.77,35,35,297,894,211,116,79,4851
Umaria,2022,23.52,80.84,19,6,96,37,70,13,34,828
Vidisha,2022,23.52,77.82,41,15,95,221,150,18,52,1864
Niwari,2022,25.08,79.05,9,9,30,28,40,9,16,443
Narmadapuram,2022,22.74,77.73,35,16,167,132,68,20,43,1428
