district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Azamgarh,2020,26.07,83.19,62,29,109,210,119,95,24,1941
Budaun,2020,28.04,79.12,51,22,82,79,22,37,19,979
Baghpat,2020,28.94,77.22,64,29,106,222,29,0,29,1546
Bahraich,2020,27.57,81.6,49,14,201,143,108,48,39,1747
Ballia,2020,25.75,84.15,35,7,56,92,69,104,16,1086
Balrampur,2020,27.43,82.18,13,5,42,35,32,36,8,482
Banda,2020,25.48,80.33,40,15,79,62,44,40,36,996
Bara Banki,2020,26.93,81.19,67,13,129,120,86,77,50,1667
Bareilly,2020,28.36,79.42,88,32,298,425,99,350,30,3586
Basti,2020,26.8,82.73,19,6,39,31,43,58,32,695
Bijnor,2020,29.37,78.14,72,16,194,170,46,0,43,1675
Bulandshahr,2020,28.41,77.85,95,26,373,431,117,137,55,3518
Chandauli,2020,25.28,83.27,12,5,79,90,51,32,14,795
Chitrakoot,2020,25.2,80.89,26,1,28,32,23,30,35,590
Deoria,2020,26.5,83.78,22,2,46,73,35,0,9,579
Etah,2020,27.56,78.67,24,7,140,147,32,175,11,1370
Etawah,2020,26.78,79.02,39,7,86,149,32,79,10,1146
Ayodhya,2020,26.79,82.19,52,17,172,168,70,11,43,1623
Fatehpur,2020,25.93,80.81,48,4,115,129,63,22,78,1496
Firozabad,2020,27.15,78.4,106,43,180,418,82,0,18,2652
Lucknow,2020,26.85,80.95,111,161,2363,1193,440,1369,89,14007
Ghaziabad,2020,28.67,77.45,54,38,497,1746,78,144,25,7301
Ghazipur,2020,25.58,83.58,39,20,152,154,105,107,31,1725
Gonda,2020,27.13,81.97,39,1,68,71,43,126,26,1059
Gorakhpur,2020,26.76,83.37,83,49,262,484,190,0,82,3567
Hamirpur,2020,25.95,80.15,28,5,57,27,19,39,15,565
Hapur,2020,28.73,77.78,20,18,123,279,42,0,21,1486
Hardoi,2020,27.4,80.13,72,11,95,88,80,114,56,1606
Hathras,2020,27.59,78.05,33,12,103,126,53,35,26,1156
Jalaun,2020,26.14,79.35,22,4,65,96,34,70,11,841
Jaunpur,2020,25.75,82.67,61,17,147,221,70,103,20,1846
Jhansi,2020,25.45,78.57,41,6,74,153,44,0,42,1178
Kannauj,2020,27.05,79.92,16,8,66,48,25,0,13,528
Kanpur Dehat,2020,26.41,79.79,34,4,81,55,56,0,9,726
Kanpur Nagar,2020,26.46,80.33,93,19,358,549,171,223,64,4183
Kasganj,2020,27.81,78.65,48,5,83,151,41,30,44,1282
Kaushambi,2020,25.54,81.38,43,18,87,129,88,73,7,1293
Kheri,2020,27.9,80.77,67,17,135,234,75,89,33,1943
Kushinagar,2020,26.74,83.88,26,7,55,85,41,26,13,763
Lalitpur,2020,24.69,78.41,13,1,24,46,16,0,3,318
Mahrajganj,2020,27.18,83.56,29,6,53,81,46,67,12,850
Mahoba,2020,25.29,79.87,20,9,29,38,31,25,15,526
